grid_code,CN,C,NLCD_Code,NLCD_Description,Soil_Group,Soil_Description
11_A,100,1,11,Open Water,A,Sand/High Infiltration
11_B,100,1,11,Open Water,B,Loam/Moderate Infiltration
11_C,100,1,11,Open Water,C,Clay Loam/Slow Infiltration
11_D,100,1,11,Open Water,D,Clay/Heavy Runoff
11_,100,1,11,Open Water,,
12_A,98,0.08,12,Perennial Ice/Snow,A,Sand/High Infiltration
12_B,98,0.12,12,Perennial Ice/Snow,B,Loam/Moderate Infiltration
12_C,98,0.16,12,Perennial Ice/Snow,C,Clay Loam/Slow Infiltration
12_D,98,0.22,12,Perennial Ice/Snow,D,Clay/Heavy Runoff
12_,98,0.22,12,Perennial Ice/Snow,,
21_A,39,0.1,21,"Developed, Open Space",A,Sand/High Infiltration
21_B,61,0.15,21,"Developed, Open Space",B,Loam/Moderate Infiltration
21_C,74,0.2,21,"Developed, Open Space",C,Clay Loam/Slow Infiltration
21_D,80,0.25,21,"Developed, Open Space",D,Clay/Heavy Runoff
21_,80,0.25,21,"Developed, Open Space",,
22_A,57,0.3,22,"Developed, Low Intensity",A,Sand/High Infiltration
22_B,72,0.35,22,"Developed, Low Intensity",B,Loam/Moderate Infiltration
22_C,81,0.42,22,"Developed, Low Intensity",C,Clay Loam/Slow Infiltration
22_D,86,0.5,22,"Developed, Low Intensity",D,Clay/Heavy Runoff
22_,86,0.5,22,"Developed, Low Intensity",,
23_A,77,0.5,23,"Developed, Medium Intensity",A,Sand/High Infiltration
23_B,85,0.58,23,"Developed, Medium Intensity",B,Loam/Moderate Infiltration
23_C,90,0.65,23,"Developed, Medium Intensity",C,Clay Loam/Slow Infiltration
23_D,92,0.72,23,"Developed, Medium Intensity",D,Clay/Heavy Runoff
23_,92,0.72,23,"Developed, Medium Intensity",,
24_A,89,0.8,24,"Developed, High Intensity",A,Sand/High Infiltration
24_B,92,0.85,24,"Developed, High Intensity",B,Loam/Moderate Infiltration
24_C,94,0.9,24,"Developed, High Intensity",C,Clay Loam/Slow Infiltration
24_D,95,0.95,24,"Developed, High Intensity",D,Clay/Heavy Runoff
24_,95,0.95,24,"Developed, High Intensity",,
31_A,77,0.5,31,Barren Land (Rock/Sand/Clay),A,Sand/High Infiltration
31_B,86,0.55,31,Barren Land (Rock/Sand/Clay),B,Loam/Moderate Infiltration
31_C,91,0.62,31,Barren Land (Rock/Sand/Clay),C,Clay Loam/Slow Infiltration
31_D,94,0.7,31,Barren Land (Rock/Sand/Clay),D,Clay/Heavy Runoff
31_,94,0.7,31,Barren Land (Rock/Sand/Clay),,
32_A,72,0.4,32,Unconsolidated Shore,A,Sand/High Infiltration
32_B,82,0.45,32,Unconsolidated Shore,B,Loam/Moderate Infiltration
